unique_id,QC_comments,QC_modal_peak_height,QC_peak_number,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,fsa_id,plate_id,well,cell_line,treatment,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,...9,d0_weighted_mean_repeat,weighted_repeat_gain,day,genotype,normalised_gain
20230413_F04.fsa,NA,NA,NA,141.32914622683253,1075,141.32914622683253,1075,35,34,21,128.32914622683253,161.32914622683253,144.82914622683253,144.4046953597805,144.82914622683253,1075,-13,20,3.0755491329479696,3.0755491329479767,5.515780346820809,6.111933547166708,10.310697674418604,10.310697674418604,-3.3957528957528957,-11.5125,-7.348122866894197,-5.261044176706827,-2.765294771968854,-0.9544186046511617,0.6604127579737342,2.3005725190839694,3.9679611650485427,5.7765607886089825,7.895348837209303,10.945175438596493,13.549800796812743,17.639999999999993,0,0,0.13217636022514087,1.2761633428300097,2.432919847328245,3.603495145631068,4.8173076923076925,6.146938775510203,7.652842377260983,9.52822299651568,12.326265822784812,14.69927184466019,18.20546666666666,20230413_F04,20230414,F04,P3,"300 nM
Bran.",NA,NA,NA,NA,141.07336923050724,3.3313261292732648,29,"PMS1
delta PE",0.9452316580353947
20230413_F05.fsa,NA,NA,NA,142.4822922331073,643,141.4822922331073,634,37,34,21,125.4822922331073,161.4822922331073,144.89405693898965,144.33355961647845,144.9822922331073,643,-16,20,2.8512673833711517,2.851267383371141,5.428050103560508,5.917383335683068,10.031104199066874,10.031104199066874,-3.549728260869565,-11.659824561403509,-7.704569892473118,-5.549346405228758,-2.8952380952380947,-1.00758377425044,0.5841368584758945,2.1776212832550863,3.7839486356340277,5.516909090909092,7.568275862068966,10.527099236641222,13.131751824817513,17.59290909090909,0,0,0.11710730948678082,1.223696682464455,2.3410015649452274,3.4626003210272875,4.629411764705882,5.888727272727273,7.338160919540231,9.169470404984425,11.868750000000002,14.308796296296293,18.18340909090909,20230413_F05,20230414,F05,P3,"300 nM
Bran.",NA,NA,NA,NA,141.07336923050724,3.260190385971214,29,"PMS1
delta PE",0.9250475769884734
20230413_F07.fsa,NA,NA,NA,163.64353297983342,651,156.64353297983342,332,43,42,28,140.64353297983342,183.64353297983342,163.00067583697628,164.25992100114522,163.14353297983342,651,-16,27,7.616388021311792,7.616388021311777,8.779717067793497,9.330266596968112,13.692780337941628,13.692780337941628,-3.8306110102843314,-12.908095238095239,-4.7796992481203,-1.8212014134275616,1.2654788418708243,3.493916349809887,5.368810289389068,7.070202808112325,8.81153212520593,10.741947565543073,13.068617021276598,16.41872340425532,19.562096774193545,24.552333333333337,0,0.3611111111111111,1.4888641425389757,3.4334600760456278,5.105305466237943,6.614439324116744,8.106260296540363,9.716262975778546,11.52540650406504,13.771276595744682,16.980851063829785,20.112980769230766,24.772500000000004,20230413_F07,20230414,F07,P6,"300 nM
Bran.",NA,NA,NA,NA,156.95367332425215,7.306247676893065,29,"PMS1
delta PE",1.0917537308435887
20230413_F08.fsa,NA,Low,NA,163.64353297983342,366,156.64353297983342,178,36,36,26,131.64353297983342,181.64353297983342,163.64353297983342,164.330520852662,164.14353297983342,366,-25,25,7.686987872828581,7.686987872828581,8.79285480170436,9.347462353597322,13.69672131147541,13.69672131147541,-3.74472807991121,-11.879999999999999,-4.430526315789473,-1.7621621621621617,1.4736000000000002,3.632298136645964,5.457062146892656,7.146067415730337,8.900588235294117,10.829054054054057,13.14107142857143,16.455813953488374,19.360240963855418,23.682439024390245,0,0.4524875621890548,1.6356000000000002,3.5335403726708075,5.162994350282486,6.660109289617487,8.169117647058824,9.771601208459215,11.60253623188406,13.786607142857143,17.019266055045872,19.795783132530115,23.85878048780487,20230413_F08,20230414,F08,P6,"300 nM
Bran.",NA,NA,NA,NA,156.95367332425215,7.376847528409854,29,"PMS1
delta PE",1.102303284417337
20230413_F10.fsa,NA,NA,NA,158.34310747730737,536,150.34310747730737,308,36,36,27,141.34310747730737,176.34310747730737,158.84310747730737,157.8801837484938,158.84310747730737,536,-9,26,7.537076271186436,7.537076271186441,8.435169491525423,9.143602183141299,14.382462686567164,14.382462686567164,-2.820359281437126,-7.9013333333333335,-4.296296296296296,-1.9691119691119692,1.0501253132832085,3.218295218295219,5.078947368421053,6.851782363977486,8.637596899224807,10.568627450980394,12.829015544041454,16.35,19.2016806722689,23.554166666666667,0,0.28561643835616446,1.3796992481203008,3.2432432432432434,4.875475285171103,6.425891181988743,7.967350746268657,9.586693548387096,11.376760563380284,13.54920634920635,16.9475,19.703781512605037,23.80312499999999,20230413_F10,20230414,F10,P14,"300 nM
Bran.",NA,NA,NA,NA,150.57864927402295,7.301534474470856,29,"PMS1
delta PE",1.0677544352442152
20230413_F11.fsa,NA,NA,NA,156.21551937801098,685,150.21551937801098,419,36,36,25,139.21551937801098,174.21551937801098,156.71551937801098,157.12337982357636,156.71551937801098,685,-11,24,6.907860445565376,6.907860445565364,8.061118116855821,8.742806638515173,13.865693430656934,13.865693430656934,-3.2186766776161426,-9.693076923076923,-5.087171052631579,-2.512861736334405,0.5050916496945014,2.6714046822742485,4.493353028064993,6.246189024390244,8.06829268292683,10.065589353612168,12.442013129102845,15.680212014134275,18.33285714285714,22.110365853658536,0,0.1836048879837068,1.1987155963302754,2.9725752508361207,4.506499261447564,5.998832116788321,7.553598774885145,9.192096219931273,11.044556451612905,13.217412935323384,16.33625,18.822,22.319146341463412,20230413_F11,20230414,F11,P14,"300 nM
Bran.",NA,NA,NA,NA,150.57864927402295,6.544730549553407,29,"PMS1
delta PE",0.9570817060711603
20230413_F12.fsa,NA,NA,NA,156.14471216709936,572,150.14471216709936,435,35,35,25,140.14471216709936,174.14471216709936,157.14471216709936,156.74758251016434,157.14471216709936,572,-10,24,6.6028703430649784,6.602870343064976,7.707166027720437,8.39441817552762,14.15909090909091,14.159090909090908,-2.8998451213216314,-9.077636363636364,-4.841369047619048,-2.509507042253521,0.1995910020449899,2.195936395759718,3.995044247787611,5.80506993006993,7.689015151515151,9.732572614107886,12.092011019283749,15.297402597402597,17.867543859649118,22.00482142857143,0,0,0.8836400817995912,2.5215547703180214,4.056498194945849,5.602097902097903,7.184659090909091,8.873199999999999,10.696320346320348,12.91955922865014,15.947619047619048,18.41299212598425,22.273035714285715,20230413_F12,20230414,F12,P14,"300 nM
Bran.",NA,NA,NA,NA,150.57864927402295,6.168933236141385,29,"PMS1
delta PE",0.9021262375252659
