unique_id,QC_comments,QC_modal_peak_height,QC_peak_number,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,fsa_id,plate_id,well,cell_line,treatment,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,sample_group_id,d0_weighted_mean_repeat,skewness,weighted_repeat_gain,day,genotype,normalised_gain
plate2_D03_20230328.fsa,NA,NA,NA,129.36485355048728,1705,127.36485355048728,1616,36,27,16,116.36485355048728,142.36485355048728,129.36485355048728,129.28850669067975,129.36485355048728,1705,-11,15,1.9236531401924708,1.9236531401924795,4.15730727254688,4.420802077322562,7.131378299120234,7.131378299120235,-2.84614412136536,-9.996133333333333,-6.61056338028169,-4.772750642673522,-2.6594155844155845,-1.1700689655172407,0.09124478856462187,1.2873900293255134,2.5146529562981996,3.8978632478632487,5.569416126042633,7.866666666666665,9.78141176470588,13.238030303030298,0,0,0,0.6889815366289459,1.506862170087977,2.3506426735218513,3.2678062678062676,4.28489666136725,5.4511584800741435,6.873707370737074,8.919584055459273,10.764827586206893,13.714848484848483,plate2_D03_20230328,2022-01-12_2,D03,H4,"500 nM
Ris.",NA,NA,NA,H4,128.12738965762577,0.6021456761891648,1.1611170330539835,32,"HTT
delta PE",0.2279690720624792
plate2_D04_20230328.fsa,NA,NA,NA,129.21860107570646,1276,127.21860107570646,1175,31,27,17,117.21860107570646,143.21860107570646,130.21860107570646,129.82349871246507,130.21860107570646,1276,-10,16,2.604897636758608,2.604897636758607,4.365282074912777,4.7477356290915615,7.739028213166144,7.7390282131661445,-2.563950143815916,-9.091931818181818,-5.745646067415731,-3.9893871449925262,-1.9850540806293018,-0.5597446808510633,0.6980551053484607,1.8985109717868336,3.1169777777777776,4.514383561643836,6.189687924016282,8.66297071129707,10.716275167785234,14.024022988505742,0,0,0,0.8551053484602917,1.733777429467085,2.61637519872814,3.562222222222222,4.609197651663405,5.810532276330692,7.348429752066116,9.630909090909093,11.517400881057265,14.4883908045977,plate2_D04_20230328,2022-01-12_2,D04,H4,"500 nM
Ris.",NA,NA,NA,H4,128.12738965762577,0.5695255229832684,1.6961090548392974,32,"HTT
delta PE",0.33300726485036963
plate2_D05_20230328.fsa,NA,NA,NA,129.3376437877374,2150,127.33764378773739,1985,33,26,16,117.33764378773739,142.3376437877374,129.8376437877374,129.62672619257444,129.8376437877374,2150,-10,15,2.289082404837046,2.2890824048370537,4.2177434688367494,4.578561489885476,7.691162790697675,7.691162790697675,-2.6426636098374323,-9.038653846153846,-5.931904069767442,-4.287089947089947,-2.3211320754716978,-0.8598992443324933,0.43672503549455777,1.6695348837209303,2.9169612995699947,4.293210907067335,5.885156250000001,8.105438813349815,9.96751227495908,13.013012820512817,0,0,0,0.8292475153809751,1.7013023255813957,2.585953177257525,3.5194401244167963,4.523984418475236,5.659635416666667,7.0227533460803055,9.061211129296236,10.765817409766454,13.500897435897436,plate2_D05_20230328,2022-01-12_2,D05,H4,"500 nM
Ris.",NA,NA,NA,H4,128.12738965762577,0.574426661458305,1.499336534948668,32,"HTT
delta PE",0.2943737356798636
plate2_D06_20230328.fsa,NA,NA,NA,128.57236921039595,1799,127.57236921039595,1700,31,25,16,118.57236921039595,142.57236921039595,130.57236921039595,129.71678719610824,130.57236921039595,1799,-9,15,2.1444179857122947,2.1444179857122845,4.071952187514591,4.426358135514329,7.35964424680378,7.3596442468037795,-2.555211686060906,-8.421885714285715,-5.858361486486486,-4.3244897959183675,-2.4042264150943393,-0.9722941176470584,0.2717065036131185,1.467134831460674,2.6861414606095453,3.9912422360248465,5.583628691983122,7.8856958762886595,9.840590809628004,13.157803030303025,0,0,0,0.7269594219010562,1.568932584269663,2.4235767682576195,3.3114906832298137,4.275348189415042,5.390970464135022,6.813943808532779,8.918227424749164,10.711127167630057,13.640984848484845,plate2_D06_20230328,2022-01-12_2,D06,H4,"500 nM
Ris.",NA,NA,NA,H4,128.12738965762577,0.5460470959736978,1.5893975384824728,32,"HTT
delta PE",0.3120559527347766
plate2_D07_20230328.fsa,NA,NA,NA,134.30002426925353,590,132.30002426925353,491,25,25,18,125.30002426925353,149.30002426925353,137.30002426925353,135.29854107874596,137.30002426925353,590,-7,17,2.998516809492429,2.9985168094924193,4.186717205009888,4.59915611814346,7.033898305084746,7.033898305084746,-1.9818581638262782,-6.747272727272727,-4.476923076923077,-3.0185022026431714,-1.2756626506024094,0.0024347826086962565,1.0562711864406784,2.088809946714032,3.1810810810810803,4.420737327188942,5.984487534626039,8.536046511627909,11.161538461538457,15.203333333333324,0,0,0,0.7947826086956523,1.603389830508475,2.426287744227354,3.2915057915057915,4.2465437788018425,5.407202216066483,6.896551724137932,9.417322834645669,12.016666666666664,15.572222222222218,plate2_D07_20230328,2022-01-12_2,D07,H5,"500 nM
Ris.",NA,NA,NA,H5,132.43147451764938,0.55620480163147,2.8670665610965784,32,"HTT
delta PE",0.3617916752616587
plate2_D08_20230328.fsa,NA,NA,NA,134.21499376066,984,132.21499376066,949,29,25,16,123.21499376066001,147.21499376066,135.21499376066,134.45623994489415,135.21499376066,984,-9,15,2.241246184234143,2.2412461842341536,4.0128389297899085,4.388734879032258,7.0650406504065035,7.065040650406504,-2.3767766803179957,-8.373243243243243,-5.5659176029962545,-3.9683018867924527,-2.145661450924609,-0.8531085353003155,0.31458117890382675,1.4583333333333333,2.6570135746606334,4.003790087463558,5.7102310231023115,8.009411764705884,9.806227106227103,12.966478873239428,0,0,0,0.6599793174767323,1.472357723577236,2.3104072398190048,3.227722772277228,4.247230320699709,5.457425742574259,6.9113725490196085,8.951176470588235,10.52549019607843,13.511034482758626,plate2_D08_20230328,2022-01-12_2,D08,H5,"500 nM
Ris.",NA,NA,NA,H5,132.43147451764938,0.5189227116715762,2.0247654272447733,32,"HTT
delta PE",0.25550270993868934
plate2_D09_20230328.fsa,NA,NA,NA,133.27285572544415,795,132.27285572544415,721,26,24,14,122.27285572544415,145.27285572544415,133.77285572544415,134.18689246590577,133.77285572544415,795,-10,13,1.9140367404616256,1.914036740461611,3.818417333961375,4.030468620632555,6.59622641509434,6.59622641509434,-2.547574039067423,-9.272542372881356,-5.90974358974359,-4.184158415841583,-2.2346076458752515,-0.86879334257975,0.2802515723270442,1.350189633375474,2.4410526315789465,3.629673590504452,5.07922077922078,7.277862595419849,9.12022471910112,11.630112359550559,0,0,0,0.6123270440251574,1.373830594184577,2.1428947368421056,2.9374999999999996,3.8255192878338278,4.863765541740675,6.185754985754986,8.26214953271028,9.809269662921345,11.90573033707865,plate2_D09_20230328,2022-01-12_2,D09,H5,"500 nM
Ris.",NA,NA,NA,H5,132.43147451764938,0.5184979499629947,1.7554179482563939,32,"HTT
delta PE",0.2215140760600817
plate2_D10_20230328.fsa,NA,NA,NA,133.1742203354757,1119,132.1742203354757,1084,29,25,15,122.1742203354757,146.1742203354757,134.1742203354757,134.262991375365,134.1742203354757,1119,-10,14,2.088771039889309,2.0887710398893247,4.0547997847974795,4.393909410729991,7.128686327077748,7.128686327077748,-2.558511702340468,-9.111125,-5.89695652173913,-4.306707317073171,-2.3915356711003626,-1.0118301314459042,0.18355674709562123,1.3697519083969467,2.651678535096642,4.022395209580838,5.656021650879568,7.888223140495867,9.730858085808578,12.408899999999996,0,0,0,0.6570151921358357,1.5017175572519088,2.394099694811801,3.3340425531914892,4.339640718562874,5.48470906630582,6.857050243111831,8.899733333333334,10.492241379310343,12.800399999999998,plate2_D10_20230328,2022-01-12_2,D10,H5,"500 nM
Ris.",NA,NA,NA,H5,132.43147451764938,0.4427097533397231,1.8315168577156271,32,"HTT
delta PE",0.23111690576498783
plate2_D11_20230328.fsa,NA,NA,NA,133.13000447100708,1006,132.13000447100708,949,29,24,14,122.13000447100708,145.13000447100708,133.63000447100708,133.89805698741844,133.63000447100708,1006,-10,13,1.768052516411359,1.7680525164113785,3.8231218088986143,4.041919325072502,6.540755467196819,6.540755467196819,-2.602170399445855,-9.333164556962025,-6.067741935483871,-4.434451901565995,-2.5012658227848097,-1.1100961538461531,0.05586481113320109,1.1528066528066532,2.310352422907489,3.576715686274511,5.119655172413794,7.271313672922254,8.915894039735097,11.512941176470589,0,0,0,0.5648111332007952,1.3334719334719338,2.1292951541850225,2.964757709251101,3.8904411764705875,4.981231671554253,6.341855670103094,8.219867549668875,9.659174311926604,11.844509803921564,plate2_D11_20230328,2022-01-12_2,D11,H5,"500 nM
Ris.",NA,NA,NA,H5,132.43147451764938,0.5560517554208644,1.4665824697690653,32,"HTT
delta PE",0.18506627500276496
plate2_D12_20230328.fsa,NA,NA,NA,133.05857884378855,1091,132.05857884378855,986,28,26,16,122.05857884378855,147.05857884378855,134.55857884378855,134.3220192600079,134.55857884378855,1091,-10,15,2.263440416219339,2.263440416219341,4.089850524403336,4.391597214293869,7.028414298808432,7.028414298808433,-2.5502767527675276,-9.086911764705881,-5.8376785714285715,-4.0909313725490195,-2.113437057991513,-0.7132860040567943,0.4652612282309811,1.5848089468779127,2.7653999999999996,4.021682464454978,5.549500713266762,7.924874371859296,10.155076142131977,13.424851485148508,0,0,0,0.7019248395967004,1.5132339235787513,2.3536,3.239561586638831,4.174644549763033,5.255777460770329,6.672106261859583,9.028744939271256,11.006774193548386,13.756534653465348,plate2_D12_20230328,2022-01-12_2,D12,H5,"500 nM
Ris.",NA,NA,NA,H5,132.43147451764938,0.5605781856078683,1.8905447423585144,32,"HTT
delta PE",0.23856556341454518
