Well,Time,Region,Total_Masses,drug_conc
B2,20,60,21,500 nM Ris
B2,20,34,12,500 nM Ris
B2,20,29,24,500 nM Ris
A3,20,23,9,200 nM Bran.
A3,20,66,11,200 nM Bran.
A3,20,42,18,200 nM Bran.
A3,20,34,16,200 nM Bran.
A3,20,26,4,200 nM Bran.
A3,20,35,13,200 nM Bran.
A3,20,57,10,200 nM Bran.
A3,20,77,9,200 nM Bran.
A3,20,38,14,200 nM Bran.
A3,20,5,8,200 nM Bran.
A3,20,46,13,200 nM Bran.
A3,20,49,21,200 nM Bran.
A3,20,1,12,200 nM Bran.
A3,20,37,9,200 nM Bran.
A3,20,33,13,200 nM Bran.
A3,20,24,9,200 nM Bran.
A3,20,51,21,200 nM Bran.
A3,20,61,4,200 nM Bran.
A3,20,72,15,200 nM Bran.
A3,20,74,17,200 nM Bran.
A3,20,6,11,200 nM Bran.
A3,20,39,9,200 nM Bran.
A3,20,68,9,200 nM Bran.
A3,20,28,15,200 nM Bran.
A3,20,30,4,200 nM Bran.
A3,20,59,7,200 nM Bran.
A3,20,9,8,200 nM Bran.
A3,20,15,10,200 nM Bran.
A3,20,18,15,200 nM Bran.
A3,20,67,8,200 nM Bran.
A3,20,10,6,200 nM Bran.
A3,20,40,18,200 nM Bran.
A3,20,44,6,200 nM Bran.
A3,20,8,11,200 nM Bran.
A3,20,12,12,200 nM Bran.
A3,20,52,10,200 nM Bran.
A3,20,29,14,200 nM Bran.
A3,20,22,10,200 nM Bran.
A3,20,63,17,200 nM Bran.
A3,20,31,13,200 nM Bran.
A3,20,43,12,200 nM Bran.
A3,20,60,4,200 nM Bran.
A3,20,19,14,200 nM Bran.
A3,20,2,11,200 nM Bran.
A3,20,41,130,200 nM Bran.
A3,20,56,7,200 nM Bran.
A3,20,75,19,200 nM Bran.
A3,20,78,8,200 nM Bran.
A3,20,17,12,200 nM Bran.
A3,20,13,12,200 nM Bran.
A3,20,64,10,200 nM Bran.
A3,20,11,10,200 nM Bran.
A3,20,47,8,200 nM Bran.
A3,20,27,10,200 nM Bran.
A3,20,76,13,200 nM Bran.
A3,20,73,13,200 nM Bran.
A3,20,20,14,200 nM Bran.
A3,20,36,11,200 nM Bran.
A3,20,3,16,200 nM Bran.
A3,20,25,11,200 nM Bran.
A3,20,71,6,200 nM Bran.
A3,20,54,18,200 nM Bran.
A3,20,65,16,200 nM Bran.
A3,20,79,12,200 nM Bran.
A3,20,48,18,200 nM Bran.
A3,20,50,12,200 nM Bran.
A3,20,53,11,200 nM Bran.
A3,20,55,12,200 nM Bran.
A3,20,69,13,200 nM Bran.
A3,20,4,10,200 nM Bran.
A3,20,16,9,200 nM Bran.
A3,20,32,22,200 nM Bran.
