Well,Time,Region,Min,Max,Mean,Median,Mode,StDev,drug_conc
A2,20,57,23,66,24.2974845122933,24,23,2.0254299832776157,100 nM Bran.
A2,20,13,23,69,24.40380680570801,24,23,2.210383737191292,100 nM Bran.
A2,20,43,23,69,24.466198612821177,24,23,2.3945053787367634,100 nM Bran.
A2,20,44,23,69,24.334033353071593,24,23,2.1320095768221425,100 nM Bran.
A2,20,45,23,69,24.38171284590065,24,23,2.2085696113816664,100 nM Bran.
A2,20,46,23,69,24.342233434948668,24,23,2.1413166016538225,100 nM Bran.
A2,20,51,23,69,24.524570375187736,24,23,2.3422421230544033,100 nM Bran.
A2,20,58,23,69,24.307542250026756,24,23,2.1427587770025607,100 nM Bran.
A2,20,47,23,69,24.404017776347803,24,23,2.2153470196037692,100 nM Bran.
A2,20,22,23,69,24.357213785849133,24,23,2.1238718891825465,100 nM Bran.
A2,20,23,23,69,24.296514093202923,24,23,2.0622532352302243,100 nM Bran.
A1,20,40,23,69,24.285311914612617,24,23,2.193114579101458,DMSO
A1,20,44,23,69,24.234005015905417,24,23,1.891700896523499,DMSO
A1,20,4,23,69,24.159120658958617,24,23,1.9138550528703264,DMSO
A1,20,27,23,65,24.134006193004673,24,23,1.7867518374679996,DMSO
A1,20,22,23,69,24.183989698012436,24,23,2.03389063820888,DMSO
A1,20,55,23,68,24.205862515869654,24,23,1.8592348979540323,DMSO
A1,20,56,23,69,24.218831332189826,24,23,1.9199660176683184,DMSO
A1,20,21,23,69,24.19780106308176,24,23,1.8210506049119872,DMSO
A1,20,18,23,69,24.127569026015752,24,23,1.7196811674937238,DMSO
A1,20,1,23,67,24.165098574705254,24,23,1.7239670498227893,DMSO
A1,20,49,23,69,24.12650241219798,24,23,1.8972522867952448,DMSO
A1,20,52,23,69,24.18568504541384,24,23,1.9108783705720027,DMSO
A1,20,80,23,67,24.22920476690151,24,23,1.9188008258798397,DMSO
A1,20,31,23,69,24.224176063626953,24,23,2.1551959465843415,DMSO
A1,20,32,23,69,24.22971155148287,24,23,2.0059367025549153,DMSO
A1,20,47,23,69,24.212377060673436,24,23,2.011301882012121,DMSO
A1,20,39,23,69,24.15327612554367,24,23,1.8146893596450775,DMSO
A1,20,77,23,69,24.27513256016192,24,23,2.232395690874179,DMSO
A1,20,57,23,69,24.288785989105392,24,23,2.0454785460280736,DMSO
A1,20,28,23,69,24.335275596898946,24,23,2.326385311456978,DMSO
A1,20,19,23,69,24.176374623206275,24,23,1.8398531961222944,DMSO
A1,20,26,23,68,24.184412572474823,24,23,2.024635863476973,DMSO
A1,20,63,23,69,24.11066110370995,24,23,1.8539596704511832,DMSO
A1,20,74,23,67,24.111211749657333,24,23,1.6845622883557818,DMSO
A1,20,5,23,69,24.340988378602297,24,23,2.2845593392340415,DMSO
A1,20,33,23,69,24.551076602185,24,23,3.260823699274729,DMSO
A1,20,35,23,68,24.234725108634045,24,23,1.9659218459210783,DMSO
A1,20,41,23,69,24.338161694664105,24,23,2.44420482483385,DMSO
A1,20,8,23,69,24.20955296908039,24,23,1.9481526842792365,DMSO
A1,20,51,23,69,24.24410358888499,24,23,2.310924107548909,DMSO
A1,20,68,23,66,24.114077645623055,24,23,1.794392134826502,DMSO
A1,20,67,23,69,24.196524522215817,24,23,2.0403840921930465,DMSO
A1,20,79,23,69,24.172852369798843,24,23,1.8627685789070925,DMSO
A1,20,48,23,69,24.162379523216945,24,23,1.942660694729156,DMSO
A1,20,58,23,69,24.101779493134774,24,23,1.7598532276959604,DMSO
A1,20,2,23,69,24.097816159075258,24,23,1.855572791112286,DMSO
A1,20,50,23,67,24.155921828986024,24,23,1.7570505674672665,DMSO
A1,20,11,23,69,24.10555524973853,23,23,1.9078954035929423,DMSO
A1,20,60,23,69,24.32545239035954,24,23,2.151590613152504,DMSO
A1,20,3,23,69,24.300053971519645,24,23,2.220369014680306,DMSO
A1,20,6,23,69,24.112295667854855,24,23,1.7834958914541446,DMSO
A1,20,78,23,69,24.253480697506394,24,23,2.06979034789354,DMSO
A1,20,54,23,69,24.109176431061275,24,23,1.902958236638163,DMSO
A1,20,38,23,69,24.217755562399592,24,23,1.9051567026262597,DMSO
A1,20,53,23,67,24.204803727306807,24,23,1.929245270445454,DMSO
A1,20,16,23,69,24.20901365306694,24,23,2.1291526722142864,DMSO
A1,20,34,23,69,24.19524123251571,24,23,2.0162348266327412,DMSO
A1,20,81,23,69,24.076046217878368,24,23,1.67453741205804,DMSO
A1,20,9,23,69,24.12421260569981,24,23,1.736750462508595,DMSO
A1,20,72,23,69,24.0583811570158,23,23,1.8102240050835343,DMSO
A1,20,61,23,69,24.233439077636785,24,23,2.16927296620287,DMSO
A1,20,62,23,69,24.28351397918123,24,23,2.4384034075455476,DMSO
A1,20,65,23,69,24.190003471017008,24,23,1.9423915049151657,DMSO
A1,20,14,23,69,24.27216463248852,24,23,2.018656136717153,DMSO
A1,20,69,23,69,24.446338948092126,24,23,2.7023674969045013,DMSO
A1,20,20,23,68,24.138105552547177,24,23,1.8437627379593051,DMSO
A1,20,37,23,69,24.158378401298265,24,23,1.9454894685834951,DMSO
A1,20,10,23,69,24.13251837272711,24,23,1.8972126455513911,DMSO
A1,20,12,23,69,24.241350167005308,24,23,2.0511753643098163,DMSO
A1,20,30,23,69,24.06181280606117,23,23,1.9019824063956496,DMSO
A1,20,25,23,69,24.262912325105557,24,23,2.2065978731525164,DMSO
A1,20,7,23,69,24.22044377699945,24,23,2.0921210362974603,DMSO
A1,20,17,23,66,24.21933981534439,24,23,1.9451490486220089,DMSO
A1,20,59,23,68,24.191273784377643,24,23,1.892808507288431,DMSO
A1,20,71,23,69,24.268605588738296,24,23,1.9656427875438012,DMSO
A1,20,64,23,69,24.185982553746825,24,23,1.907396128686448,DMSO
A1,20,73,23,68,24.2333713919198,24,23,1.7005169487015588,DMSO
A1,20,23,23,69,24.22450018534536,24,23,1.969013326818133,DMSO
