exp,drug_conc,Elapsed,mean_count,std_dev,number,upper,lower
Branaplam,25,28,32.041666666666664,15.851153206344783,24,38.38344874107028,25.699884592263047
Branaplam,25,30,30.875,15.5711899520152,24,37.10477344483032,24.64522655516968
Branaplam,25,32,29.666666666666668,15.199160922683305,24,35.74759750057387,23.585735832759468
Branaplam,25,34,28.875,14.795159314128211,24,34.794296527190674,22.955703472809326
Branaplam,25,36,27.375,13.596075200938145,24,32.8145629686451,21.9354370313549
Branaplam,25,38,26.166666666666668,12.953652050648705,24,31.349206845508895,20.98412648782444
Branaplam,25,40,24.916666666666668,13.302228210428463,24,30.23866635440891,19.594666978924426
Branaplam,25,42,23.791666666666668,12.649039030922353,24,28.852336255843703,18.730997077489633
Branaplam,25,44,22.75,12.040691876697336,24,27.567280037170534,17.932719962829466
Branaplam,25,46,21.041666666666668,11.234570739914584,24,25.536431079358824,16.546902253974512
Branaplam,25,48,20.833333333333332,10.696064561391227,24,25.11265040377483,16.554016262891835
Branaplam,25,50,19.583333333333332,10.619574488596074,24,23.83204800114787,15.334618665518793
Branaplam,25,52,18.625,10.273700065871024,24,22.735336078857717,14.514663921142283
Branaplam,25,54,18.25,10.48912480288202,24,22.446523923853917,14.053476076146083
Branaplam,25,56,17.333333333333332,9.862827298439356,24,21.279286069386956,13.387380597279709
Branaplam,25,58,16.333333333333332,9.707310856152233,24,20.21706653411827,12.449600132548394
Branaplam,25,60,15.458333333333334,9.273520820367908,24,19.16851437439965,11.748152292267019
Branaplam,25,62,14.708333333333334,9.424663143174872,24,18.478983897404277,10.937682769262393
Branaplam,25,64,14.125,9.114310296117477,24,17.771483565204203,10.478516434795797
Branaplam,25,66,13.416666666666666,8.510436900176398,24,16.821550555952307,10.011782777381026
Branaplam,25,68,12.5,8.240937050982787,24,15.797061493626352,9.202938506373648
Branaplam,25,70,12.041666666666666,7.7934150948464,24,15.159682088226049,8.923651245107283
Branaplam,25,72,11.541666666666666,7.348345963942982,24,14.48161735063308,8.601715982700252
Branaplam,25,74,10.833333333333334,6.62450435663035,24,13.483687060522792,8.182979606143876
Branaplam,25,76,9.875,6.961462240200627,24,12.660164957516827,7.089835042483172
Branaplam,25,78,8.583333333333334,6.586657572017426,24,11.218545193107367,5.948121473559301
Branaplam,25,80,8.083333333333334,6.446547216494482,24,10.662489376251212,5.504177290415456
Branaplam,25,82,8.625,8.181700152859694,24,11.89836179848304,5.351638201516961
Branaplam,25,84,6.583333333333333,5.547554625133544,24,8.802817431459685,4.363849235206981
Branaplam,50,0,40.125,19.038433667761094,24,47.741959838013656,32.508040161986344
Branaplam,50,2,41.791666666666664,20.50446222202603,24,49.99516008270919,33.58817325062414
Branaplam,50,4,42.291666666666664,21.189577353165806,24,50.76926322214676,33.81407011118657
Branaplam,50,6,42.416666666666664,21.151455221119292,24,50.879011192814666,33.95432214051866
Branaplam,50,8,43.375,20.691969666893776,24,51.653512017982706,35.096487982017294
Branaplam,50,10,42.208333333333336,20.936714510465904,24,50.584763682024445,33.83190298464223
Branaplam,50,12,40.791666666666664,20.459884751825243,24,48.977325380226574,32.606007953106754
Branaplam,50,14,40.208333333333336,19.419799772098727,24,47.97787139028096,32.43879527638571
Branaplam,50,16,39.75,20.2404029861927,24,47.84784771906458,31.652152280935418
Branaplam,50,18,40,20.438667530805002,24,48.1771700572342,31.8228299427658
Branaplam,50,20,38.791666666666664,20.142922301408493,24,46.850513989273175,30.732819344060154
Branaplam,50,22,38.083333333333336,20.673269165059853,24,46.354363592369616,29.812303074297056
Branaplam,50,24,36.75,20.76420414831841,24,45.05741182946577,28.44258817053423
Branaplam,50,26,35.166666666666664,19.378757232703496,24,42.91978428800078,27.41354904533255
Branaplam,50,28,33.333333333333336,18.555830366214014,24,40.757211637974756,25.909455028691912
Branaplam,50,30,32.291666666666664,17.59070695038982,24,39.32941518640315,25.253918146930175
Branaplam,50,32,31.25,17.43372543688513,24,38.22494283390422,24.275057166095777
