exp,drug_conc,Elapsed,mean_conf,std_dev,number,upper,lower
Branaplam,25,68,93.94692875,5.34215799576824,24,96.08423708177703,91.80962041822296
Branaplam,25,70,94.75303791666667,4.972496146029485,24,96.74245070660226,92.76362512673109
Branaplam,25,72,95.66031083333333,4.302506918377498,24,97.38167210558716,93.9389495610795
Branaplam,25,74,96.28641999999999,3.6385253809057927,24,97.74213333123288,94.8307066687671
Branaplam,25,76,96.68181291666667,3.296326118805179,24,98.00061802942399,95.36300780390935
Branaplam,25,78,97.09244125000001,2.6855934646996555,24,98.16690241202767,96.01798008797235
Branaplam,25,80,97.30425625,2.535427990315763,24,98.31863870978782,96.28987379021217
Branaplam,25,82,97.67767625,2.2276768299729577,24,98.56893260239157,96.78641989760844
Branaplam,25,84,97.77616541666667,2.116025964386152,24,98.62275211955371,96.92957871377963
Branaplam,50,0,14.17390975,4.086174076640293,24,15.80871985969963,12.53909964030037
Branaplam,50,2,16.41208045833333,4.774651429288234,24,18.32233887622974,14.501822040436926
Branaplam,50,4,17.625248625,5.200645476472519,24,19.705940157576958,15.544557092423045
Branaplam,50,6,18.517320416666667,5.63312196019106,24,20.771038578684664,16.26360225464867
Branaplam,50,8,19.763981666666666,6.035254196587182,24,22.178586230772808,17.349377102560524
Branaplam,50,10,20.494228333333332,6.253066041422272,24,22.995975784470247,17.992480882196418
Branaplam,50,12,21.643367083333334,6.595698019815959,24,24.282195875518973,19.004538291147696
Branaplam,50,14,22.801637083333333,6.97649610775226,24,25.592816840562634,20.01045732610403
Branaplam,50,16,23.848175833333332,7.204880356686327,24,26.730728320174915,20.96562334649175
Branaplam,50,18,25.299214583333335,7.542927932974257,24,28.317014268387616,22.281414898279053
Branaplam,50,20,26.89856875,7.933718406970787,24,30.072717187134156,23.724420312865842
Branaplam,50,22,28.94424375,8.540071288373067,24,32.360983863839465,25.52750363616053
Branaplam,50,24,31.577479166666667,9.491065854589099,24,35.37469634828629,27.78026198504704
Branaplam,50,26,33.95807166666667,10.099124926500645,24,37.99856314336304,29.91758018997029
Branaplam,50,28,36.69796708333333,10.900580149967878,24,41.05910743039627,32.336826736270396
Branaplam,50,30,39.28643375,11.569895930278195,24,43.91535617969326,34.65751132030674
Branaplam,50,32,42.01942,12.269636442062275,24,46.92829694004333,37.11054305995666
Branaplam,50,34,45.37091875,12.412856076005935,24,50.33709547734733,40.40474202265267
Branaplam,50,36,48.14560708333333,12.998130297404643,24,53.34594226701248,42.94527189965418
