unique_id,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,fsa_id,submission_number,plate_id,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,sample_group_id,date,dox_status,d0_weighted_mean_repeat,culture_day,ko
B06_20221215.fsa,126.28986308324335,119,125.28986308324335,114,31,31,17,111.28986308324335,141.28986308324335,126.28986308324335,126.56380187889981,126.28986308324335,119,-14,16,0.5223844040703369,1.2739387956564658,6.20878578479763,6.412859560067682,8.932773109243698,8.932773109243698,-5.218162839248435,-14,-11.990625,-9.460377358490566,-5.984810126582278,-3.3842105263157887,-1.2947368421052627,0.46218487394957974,2.5373493975903605,5.350724637681161,8.06987951807229,10.935714285714285,13.069230769230765,15.366875,0,0,0.0352941176470589,1.0361702127659576,2.332530120481928,3.9812500000000006,5.594202898550725,7.207692307692307,8.679518072289158,10.332142857142859,12.691304347826089,14.178787878787876,15.630625,B06_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-12-14,NA,126.04141747482947,42,PMS1-KO
B07_20221215.fsa,125.28432758870751,62,125.28432758870751,62,6,6,3,122.28432758870751,127.28432758870751,124.78432758870751,124.76377964350203,124.78432758870751,62,-3,2,-1.2776378313274392,-0.5205479452054795,1.356164383561644,0.8133333333333332,1.4193548387096775,1.4193548387096775,-1.3431372549019607,-3,-3,-3,-2.640740740740741,-2.0999999999999996,-1.5142857142857142,-0.935483870967742,-0.46451612903225825,0.007407407407407678,0.5481481481481484,1.1411764705882357,1.5705882352941174,1.9141176470588235,0,0,0,0,0,0,0.24074074074074076,0.5185185185185185,0.7962962962962965,1.1176470588235297,1.558823529411765,1.7794117647058822,1.9558823529411764,B07_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-11-23,NA,126.04141747482947,21,PMS1-KO
B08_20221215.fsa,125.32565096519528,364,125.32565096519528,364,27,21,12,116.32565096519528,136.32565096519528,126.32565096519528,126.42863337661511,126.32565096519528,364,-9,11,0.3872159017856376,1.1029824114198319,4.043079276064237,4.181441590720795,5.631868131868132,5.631868131868132,-3.0790176187933795,-9,-7.641517857142857,-6.065413533834587,-3.658706467661691,-2.0080152671755718,-0.8346153846153843,0.2739938080495355,1.5866171003717464,3.3090425531914907,5.396666666666668,7.529714285714285,8.843333333333332,10.476933333333335,0,0,0,0.36780185758513945,1.1382899628252794,2.04304932735426,3.148936170212766,4.426178010471204,5.732222222222223,7.012571428571429,8.50814814814815,9.543,10.678133333333333,B08_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-11-23,NA,126.04141747482947,21,PMS1-KO
B09_20221215.fsa,125.26366590046364,245,125.26366590046364,245,29,22,11,113.26366590046364,135.26366590046365,124.71821135500909,125.0052100181107,124.76366590046364,245,-12,10.000000000000014,-1.0362074567187705,-0.25845588235293704,4.178308823529416,3.741052631578955,4.816326530612245,4.816326530612245,-3.918181818181818,-12,-9.582089552238806,-7.949494949494949,-5.3999999999999995,-3.3584905660377355,-1.9199999999999995,-0.7346938775510201,0.44019138755980813,1.8857142857142861,3.9824561403508913,6.612903225806467,8.011764705882367,9.476923076923091,0,0,0,0.1913875598086125,0.8732057416267947,1.6628571428571433,2.5964285714285804,3.7543859649122946,5.043689320388364,6.473118279569907,7.944444444444459,8.77352941176472,9.725961538461553,B09_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-11-23,NA,126.04141747482947,21,PMS1-KO
B10_20221215.fsa,126.29330669795068,141,125.29330669795068,129,26,26,12,109.29330669795068,136.2933066979507,123.67792208256607,124.34567714999038,123.79330669795068,141,-16,11.000000000000014,-1.6957403248390932,-0.9476295479603044,5.0689084895259136,3.9765957446808593,5.666666666666667,5.666666666666667,-5.440677966101695,-16,-12.85,-10.417021276595744,-7.193650793650793,-4.606249999999998,-2.276086956521739,-0.7441860465116279,0.6056737588652482,2.018750000000001,3.958241758241773,6.788888888888903,8.566000000000013,10.433125000000015,0,0,0,0.41843971631205673,1.0967741935483872,1.8548387096774195,2.7916666666666776,3.8131868131868267,5.093750000000015,6.666666666666681,8.500000000000016,9.594594594594609,10.706250000000015,B10_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-11-23,NA,126.04141747482947,21,PMS1-KO
B11_20221215.fsa,126.24165247734096,148,125.24165247734096,148,29,29,17,113.24165247734096,143.24165247734095,127.34510075320303,126.15666241769881,127.24165247734096,148,-12,17.999999999999986,0.11524494286933873,0.9150099403578478,5.361332007952281,5.558098591549287,6.675675675675675,6.675675675675675,-4.3681640625,-12,-10.366666666666667,-8.385185185185184,-5.50126582278481,-3.214678899082568,-1.5122302158273377,-0.12162162162162105,1.3034482758620687,3.4813953488371965,6.1573770491803135,9.968421052631568,12.852631578947351,16.742499999999982,0,0,0,0.5351351351351353,1.3862068965517245,2.5367088607594863,3.895348837209288,5.3764705882352795,7.172881355932191,9.284210526315777,12.510526315789459,14.449999999999983,17.289999999999985,B11_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-11-23,NA,126.04141747482947,21,PMS1-KO
B12_20221215.fsa,125.10525962392714,281,125.10525962392714,281,29,21,12,116.10525962392714,136.10525962392714,126.10525962392714,126.0659483828615,126.10525962392714,281,-9,11,0.02453090803203395,0.9606887589343729,4.023716699155296,4.073818374933617,5.701067615658363,5.701067615658363,-3.1937669376693765,-9,-7.807142857142857,-6.332142857142857,-3.842307692307692,-2.126732673267326,-0.8711743772241991,0.23684210526315808,1.4637168141592918,3.063855421686749,5.093939393939395,7.436521739130437,8.848571428571429,10.469310344827587,0,0,0,0.3593984962406016,1.0792035398230093,1.9123893805309735,2.9573863636363633,4.105714285714285,5.478030303030304,6.865217391304348,8.520952380952382,9.548124999999999,10.675344827586207,B12_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-11-23,NA,126.04141747482947,21,PMS1-KO
C01_20221215.fsa,120.19122143658919,316,126.19122143658919,136,41,33,20,113.19122143658919,145.1912214365892,129.1912214365892,126.79276839791517,129.1912214365892,316,-13,19,0.6762157537778677,0.6015469613259666,7.153591160220994,7.549913941480207,6.3544303797468356,6.3544303797468356,-6.343175010697475,-13,-11.313063063063062,-9.7775,-7.857142857142857,-6.403481012658227,-4.283687943262411,-0.5477941176470579,2.1485148514851486,4.423497267759564,7.787234042553194,12.951086956521738,15.824074074074074,18.29296875,0,0,0.5637426900584797,1.8915254237288137,3.055172413793104,4.221857923497268,5.604026845637584,7.525531914893617,10.174117647058825,12.817391304347826,15.748148148148147,17.31315789473684,18.636875,C01_20221215,NA,20221216,NA,NA,NA,P-22-220_MSH3KO,2022-12-14,NA,126.1165526441373,42,MSH3-KO
C02_20221215.fsa,129.96764359065537,169,125.96764359065537,108,33,31,16,109.96764359065537,140.96764359065537,125.93538552613924,125.64164582862628,125.96764359065537,169,-16,15,-0.47490681551101943,-0.3259977620290937,6.12532637075718,5.4363636363636365,7.461538461538462,7.461538461538462,-6.363502575423105,-16,-12.508823529411764,-10.340789473684211,-7.848571428571428,-5.947524752475246,-2.9296703296703286,-0.17129629629629584,1.760810810810811,3.412426035502959,5.2680000000000025,9.184745762711863,11.62395833333333,14.21147058823529,0,0,0.25547445255474455,1.2770270270270272,2.220858895705522,3.094674556213018,3.940828402366864,4.936619718309859,6.523076923076924,8.888888888888891,11.437500000000002,13.013157894736839,14.579411764705883,C02_20221215,NA,20221216,NA,NA,NA,P-22-220_MSH3KO,2022-12-14,NA,126.1165526441373,42,MSH3-KO
C03_20221215.fsa,129.98830527889925,115,125.98830527889925,77,29,29,15,111.98830527889925,140.98830527889925,126.02278803751993,125.69379866648826,125.98830527889925,115,-14,15,-0.42275397764903744,-0.2945066124109867,5.916073245167854,5.407045009784736,7.88695652173913,7.886956521739131,-5.979431929480901,-14,-12.482222222222223,-10.275555555555556,-7.424719101123595,-5.368316831683168,-3.0081081081081082,-0.4935064935064932,1.6360000000000001,3.4017391304347844,5.365517241379311,8.685714285714287,11.019999999999998,13.68933333333333,0,0,0.265263157894737,1.3240000000000003,2.3035087719298253,3.198260869565218,4.104166666666667,5.186206896551724,6.628000000000002,8.546428571428573,10.913513513513514,12.379411764705882,14.318666666666667,C03_20221215,NA,20221216,NA,NA,NA,P-22-220_MSH3KO,2022-12-14,NA,126.1165526441373,42,MSH3-KO
