unique_id,size,scan,signal,fsa_id,submission_number,code,sample,plate_id,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,sample_group_id,date,dox_status,culture_day,ko,modal_size,baseline_correction,rel_signal
A01_20221215.fsa,421.52877364279175,4106,21,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.15028901734104047
A01_20221215.fsa,421.68258827330624,4107,26,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1791907514450867
A01_20221215.fsa,421.8364029038206,4108,11,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.09248554913294797
A01_20221215.fsa,421.9902175343351,4109,13,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10404624277456648
A01_20221215.fsa,422.1440321648495,4110,23,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.16184971098265896
A01_20221215.fsa,422.29784679536385,4111,11,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.09248554913294797
A01_20221215.fsa,422.45166142587834,4112,3,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.046242774566473986
A01_20221215.fsa,422.6054760563927,4113,26,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1791907514450867
A01_20221215.fsa,422.7592906869071,4114,5,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.057803468208092484
A01_20221215.fsa,422.9131053174216,4115,11,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.09248554913294797
A01_20221215.fsa,423.06691994793596,4116,10,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.08670520231213873
A01_20221215.fsa,423.22073457845033,4117,11,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.09248554913294797
A01_20221215.fsa,423.3745492089648,4118,14,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10982658959537572
A01_20221215.fsa,423.5283638394792,4119,24,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1676300578034682
A01_20221215.fsa,423.6821784699936,4120,19,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.13872832369942195
A01_20221215.fsa,423.83599310050806,4121,27,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.18497109826589594
A01_20221215.fsa,423.98980773102244,4122,28,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1907514450867052
A01_20221215.fsa,424.1436223615368,4123,34,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.2254335260115607
A01_20221215.fsa,424.2974369920513,4124,24,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1676300578034682
A01_20221215.fsa,424.4512516225657,4125,18,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1329479768786127
A01_20221215.fsa,424.60506625308005,4126,19,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.13872832369942195
A01_20221215.fsa,424.75888088359454,4127,18,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1329479768786127
A01_20221215.fsa,424.9126955141089,4128,9,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.08092485549132948
A01_20221215.fsa,425.0665101446234,4129,13,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10404624277456648
A01_20221215.fsa,425.2203247751378,4130,4,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.05202312138728324
A01_20221215.fsa,425.37413940565216,4131,7,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06936416184971098
A01_20221215.fsa,425.52795403616665,4132,4,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.05202312138728324
A01_20221215.fsa,425.681768666681,4133,7,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06936416184971098
A01_20221215.fsa,425.8355832971954,4134,16,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.12138728323699421
A01_20221215.fsa,425.9893979277099,4135,17,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.12716763005780346
A01_20221215.fsa,426.14321255822426,4136,18,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1329479768786127
A01_20221215.fsa,426.29702718873864,4137,31,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.20809248554913296
A01_20221215.fsa,426.4508418192531,4138,24,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1676300578034682
A01_20221215.fsa,426.6046564497675,4139,26,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1791907514450867
A01_20221215.fsa,426.7584710802819,4140,38,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.24855491329479767
A01_20221215.fsa,426.91228571079637,4141,23,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.16184971098265896
A01_20221215.fsa,427.06610034131074,4142,13,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10404624277456648
A01_20221215.fsa,427.2199149718251,4143,20,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.14450867052023122
A01_20221215.fsa,427.3737296023396,4144,10,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.08670520231213873
A01_20221215.fsa,427.527544232854,4145,20,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.14450867052023122
A01_20221215.fsa,427.68135886336836,4146,10,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.08670520231213873
A01_20221215.fsa,427.83517349388285,4147,14,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10982658959537572
A01_20221215.fsa,427.9889881243972,4148,7,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06936416184971098
A01_20221215.fsa,428.1428027549116,4149,0,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.028901734104046242
A01_20221215.fsa,428.2966173854261,4150,4,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.05202312138728324
A01_20221215.fsa,428.45043201594046,4151,6,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06358381502890173
A01_20221215.fsa,428.60424664645495,4152,7,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06936416184971098
A01_20221215.fsa,428.75806127696933,4153,14,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10982658959537572
A01_20221215.fsa,428.9118759074837,4154,1,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.03468208092485549
A01_20221215.fsa,429.0656905379982,4155,16,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.12138728323699421
A01_20221215.fsa,429.21950516851257,4156,19,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.13872832369942195
A01_20221215.fsa,429.37331979902694,4157,29,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.19653179190751446
A01_20221215.fsa,429.52713442954143,4158,33,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.21965317919075145
A01_20221215.fsa,429.6809490600558,4159,32,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.2138728323699422
A01_20221215.fsa,429.8347636905702,4160,29,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.19653179190751446
A01_20221215.fsa,429.9885783210847,4161,17,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.12716763005780346
A01_20221215.fsa,430.14239295159905,4162,17,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.12716763005780346
A01_20221215.fsa,430.2962075821134,4163,10,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.08670520231213873
