unique_id,strain,repeats,signal,dox,days,rel_signal,modal_repeat
S-22-105_RPE1_481_7.fsa,7,112.6200316848244,10,Non-induced,0,0.007137758743754461,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.67477832838335,7,Non-induced,0,0.004996431120628123,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.72952497194225,-4,Non-induced,0,-0.0028551034975017845,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.78427161550121,3,Non-induced,0,0.0021413276231263384,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.83901825906015,5,Non-induced,0,0.0035688793718772305,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.89376490261908,22,Non-induced,0,0.015703069236259814,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.94851154617801,25,Non-induced,0,0.017844396859386154,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.00325818973697,34,Non-induced,0,0.02426837972876517,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.05800483329588,84,Non-induced,0,0.059957173447537475,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.11275147685484,134,Non-induced,0,0.09564596716630978,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.1674981204138,173,Non-induced,0,0.12348322626695217,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.2222447639727,215,Non-induced,0,0.15346181299072092,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.27699140753165,214,Non-induced,0,0.15274803711634546,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.3317380510906,167,Non-induced,0,0.1192005710206995,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.3864846946495,99,Non-induced,0,0.07066381156316917,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.44123133820845,52,Non-induced,0,0.037116345467523196,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.49597798176741,12,Non-induced,0,0.008565310492505354,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.55072462532632,12,Non-induced,0,0.008565310492505354,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.60547126888528,1,Non-induced,0,7.137758743754461e-4,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.66021791244421,13,Non-induced,0,0.009279086366880799,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.71496455600314,18,Non-induced,0,0.01284796573875803,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.76971119956208,7,Non-induced,0,0.004996431120628123,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.82445784312104,18,Non-induced,0,0.01284796573875803,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.87920448668,46,Non-induced,0,0.03283369022127052,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.9339511302389,70,Non-induced,0,0.049964311206281226,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,113.98869777379785,97,Non-induced,0,0.06923625981441828,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,114.0434444173568,160,Non-induced,0,0.11420413990007137,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,114.0981910609157,255,Non-induced,0,0.18201284796573874,118.97064233766118
