image_number,total_cell_count,positive_cell_count,negative_cell_count,p_enriched_positive,p_enriched_negative,enriched_score_positive,training_total_cell_count,training_positive_cell_count,training_negative_cell_count,Image_Metadata_image,Image_Metadata_scene,Image_Metadata_slide,days_conf,edu_status
634,631,91,540,0.7768049787083501,0.22319502129135216,0.5416274976276073,0,0,0,136,s2,slide2,1,pos
635,600,93,507,0.7998042924885601,0.20019570751179888,0.6015289692943722,0,0,0,137,s2,slide2,1,pos
636,664,91,573,0.760213168883193,0.2397868311170726,0.5011100601057823,0,0,0,138,s2,slide2,1,pos
637,617,89,528,0.7767896461694418,0.2232103538302511,0.5415890923195571,0,0,0,139,s2,slide2,1,pos
638,768,88,680,0.7000474328595765,0.29995256714568375,0.3680748841511867,0,0,0,140,s2,slide2,1,pos
639,710,58,652,0.5840899071434944,0.415910092855134,0.14748024237550394,0,0,0,141,s2,slide2,1,pos
640,747,70,677,0.6307769853757692,0.3692230146942546,0.23258707531748696,0,0,0,142,s2,slide2,1,pos
641,689,104,585,0.7918718679319926,0.20812813206737843,0.5803241279902522,0,0,0,143,s2,slide2,1,pos
642,593,99,494,0.8228379796018274,0.17716202039719034,0.66694370470729,0,0,0,144,s2,slide2,1,pos
643,580,92,488,0.8069378079640518,0.19306219203663935,0.6211428313362294,0,0,0,145,s2,slide2,1,pos
644,520,81,439,0.8007542045435107,0.19924579545715368,0.6041100621499137,0,0,0,146,s2,slide2,1,pos
645,523,86,437,0.8176554472306101,0.18234455276926984,0.6516775403269912,0,0,0,147,s2,slide2,1,pos
646,609,79,530,0.7415404035667283,0.25845959643552563,0.45774215710710986,0,0,0,148,s2,slide2,1,pos
647,716,88,628,0.7238208526662493,0.27617914733546106,0.4184402061554712,0,0,0,149,s2,slide2,1,pos
648,774,85,689,0.6854621897631762,0.3145378102478389,0.3383106450411958,0,0,0,150,s2,slide2,1,pos
649,786,87,699,0.6882114678301144,0.31178853217815256,0.3438617676464274,0,0,0,151,s2,slide2,1,pos
650,636,83,553,0.7437185528173231,0.25628144718351775,0.46269144781893534,0,0,0,152,s2,slide2,1,pos
651,626,88,538,0.768396850252957,0.23160314974683355,0.5208411145743934,0,0,0,153,s2,slide2,1,pos
652,559,74,485,0.7480139581555804,0.2519860418461429,0.4725332172416219,0,0,0,154,s2,slide2,1,pos
653,554,74,480,0.7509797222828818,0.24902027771890536,0.47939349735194053,2,1,1,155,s2,slide2,1,pos
654,622,93,529,0.7884497396529494,0.21155026034744065,0.571360449967157,0,0,0,156,s2,slide2,1,pos
655,655,86,569,0.7458598966261425,0.25414010337428977,0.4675840544068833,0,0,0,157,s2,slide2,1,pos
656,645,74,571,0.6999747167713862,0.3000252832336572,0.3679244990932033,0,0,0,158,s2,slide2,1,pos
657,659,96,563,0.7802444897145739,0.21975551028570317,0.5502909365994135,0,0,0,159,s2,slide2,1,pos
658,597,72,525,0.7167841495385133,0.28321585046526904,0.40327083764917704,0,0,0,160,s2,slide2,1,pos
660,561,70,491,0.7281122687360578,0.27188773126632676,0.42780873819458987,0,0,0,162,s2,slide2,1,pos
661,746,77,669,0.6640074974667366,0.335992502556532,0.2958433966352734,0,0,0,163,s2,slide2,1,pos
662,682,73,609,0.6762946348773469,0.32370536513842835,0.31998604463211017,0,0,0,164,s2,slide2,1,pos
663,742,88,654,0.7117566773349686,0.28824332266901187,0.39257229478270184,0,0,0,165,s2,slide2,1,pos
664,606,91,515,0.7897368628142603,0.2102631371858612,0.5747192702732503,0,0,0,166,s2,slide2,1,pos
665,1446,105,1341,0.5456377398009529,0.4543622601995505,0.07950215002482186,0,0,0,001,s1,slide3,3,pos
666,1142,100,1042,0.6082660276362887,0.3917339724757421,0.19110232476743655,0,0,0,002,s1,slide3,3,pos
667,1208,93,1115,0.5648717556162641,0.4351282443847044,0.1133325854716624,0,0,0,003,s1,slide3,3,pos
668,1388,89,1299,0.5054868950819085,0.49451310491755834,0.00953209567096186,0,0,0,004,s1,slide3,3,pos
669,2002,70,1932,0.3361576391038579,0.6638423610020833,-0.29552197707365196,0,0,0,005,s1,slide3,3,pos
670,1746,77,1669,0.3953534774480344,0.6046465225685858,-0.18451599638249572,0,0,0,006,s1,slide3,3,pos
671,2160,64,2096,0.2983805590979758,0.7016194412405118,-0.3713310908360276,0,0,0,007,s1,slide3,3,pos
672,1517,67,1450,0.3958530379141002,0.6041469621015182,-0.1836086137886844,1,0,1,008,s1,slide3,3,pos
673,1118,63,1055,0.4656058288510233,0.5343941711508112,-0.05984330392492715,0,0,0,009,s1,slide3,3,pos
674,1355,72,1283,0.4480915123570769,0.551908487641381,-0.0905003553192566,0,0,0,010,s1,slide3,3,pos
675,1698,58,1640,0.3308110450921252,0.6691889550412528,-0.30596876292451003,0,0,0,011,s1,slide3,3,pos
676,1762,69,1693,0.36420123834173385,0.6357987616998516,-0.24197825957537145,1,1,0,012,s1,slide3,3,pos
677,1105,92,1013,0.5910852060973547,0.40891479409551623,0.16001726686049342,0,0,0,013,s1,slide3,3,pos
678,1585,100,1485,0.5004030208950968,0.4995969791042902,7.0011915495232e-4,1,0,1,014,s1,slide3,3,pos
679,1678,96,1582,0.4701361399721371,0.5298638600292945,-0.0519406617222663,0,0,0,015,s1,slide3,3,pos
680,1741,109,1632,0.4979945945418699,0.5020054054565258,-0.00348376477850675,0,0,0,016,s1,slide3,3,pos
681,1251,88,1163,0.5351742693756898,0.46482573062480126,0.06120506423119226,0,0,0,017,s1,slide3,3,pos
682,1275,105,1170,0.587533573193653,0.41246642700553776,0.15364408395653084,1,0,1,018,s1,slide3,3,pos
683,1499,101,1398,0.5213136742450134,0.478686325751782,0.03704809525673269,0,0,0,019,s1,slide3,3,pos
684,1201,88,1113,0.5484962502133937,0.45150374978510494,0.08451230134668336,0,0,0,020,s1,slide3,3,pos
685,1498,103,1395,0.52785555975921306,0.4721444402429585,0.04844022022370631,0,0,0,021,s1,slide3,3,pos
686,1491,94,1397,0.5001612721710766,0.4998387278285875,2.8015846564799e-4,1,1,0,022,s1,slide3,3,pos
687,1421,86,1335,0.4873957763047372,0.5126042236957147,-0.02190041897371364,0,0,0,023,s1,slide3,3,pos
688,1240,108,1132,0.6065284507568253,0.3934715493586824,0.1879378420769149,0,0,0,024,s1,slide3,3,pos
689,1390,100,1290,0.5425672959825378,0.457432704018147,0.07412640135753307,0,0,0,025,s1,slide3,3,pos
690,1402,118,1284,0.5949963212167151,0.4050036789390525,0.16705531247772085,0,0,0,026,s1,slide3,3,pos
691,1465,103,1362,0.5350795887815638,0.46492041121905126,0.06103977137220678,0,0,0,027,s1,slide3,3,pos
692,2166,89,2077,0.3764244673861348,0.6235755326368427,-0.21921122175361965,0,0,0,028,s1,slide3,3,pos
693,1242,94,1148,0.5592207054140402,0.4407792945845117,0.1033620574661267,0,0,0,029,s1,slide3,3,pos
694,1200,109,1091,0.6208617865573299,0.3791382135145194,0.21419737097277108,0,0,0,030,s1,slide3,3,pos
695,1102,72,1030,0.5113724626265461,0.48862753737209336,0.01975939891494871,1,0,1,031,s1,slide3,3,pos
696,1435,57,1378,0.3680324102366786,0.6319675898047619,-0.23480874034609345,0,0,0,032,s1,slide3,3,pos
697,1243,66,1177,0.447902860623864,0.5520971393762282,-0.09083166073748272,0,0,0,033,s1,slide3,3,pos
698,1031,75,956,0.546018588150958,0.4539814118483706,0.08016935652898405,0,0,0,034,s1,slide3,3,pos
699,1375,75,1300,0.455826096319804,0.5441739036817679,-0.07693852580594762,0,0,0,035,s1,slide3,3,pos
