unique_id,size,scan,signal,well,sample_id,plate_id,cell_strain,day,indicies_baseline,repeat_control,repeat_control_length,...9,...10,allele_1,allele_2,genotype,gene,gene_geno,norm_signal
0515plate_A10.fsa,406.4950296564846,3739,100,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.033852403520649964
0515plate_A10.fsa,406.661792020633,3740,124,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.04197698036560596
0515plate_A10.fsa,406.82855438478157,3741,139,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.04705484089370345
0515plate_A10.fsa,406.9953167489301,3742,123,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.041638456330399455
0515plate_A10.fsa,407.16207911307856,3743,94,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03182125930941097
0515plate_A10.fsa,407.3288414772271,3744,69,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.023358158429248477
0515plate_A10.fsa,407.49560384137567,3745,48,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.016249153689911984
0515plate_A10.fsa,407.6623662055241,3746,37,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012525389302640487
0515plate_A10.fsa,407.82912856967266,3747,42,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.014218009478672985
0515plate_A10.fsa,407.9958909338212,3748,43,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.014556533513879486
